Destino,Und Negocio,Desripcion,Marca,Existencia,Minima,Costo,Precio Lista,Dscto  Corp,Dscto VIP
PV,SPA,FRESH CLEANSING FLUID FLUIDO DESMAQUILLADOR SUAVE 250ML,Bruno Vassary,1,1,19.00,26.11,23.50,22.32
PVC,SPA,FRESH CLEANSING FLUID FLUIDO DESMAQUILLADOR SUAVE 250ML,Bruno Vassary,2,1,19.00,26.11,23.50,22.32
PC,Hair Salon,FUNDA DE GORROS,Otros,3,1,0,0,0,0
PC,Nail Bar,GASA PARA LIMPIAR UNNAS,Otros,2,1,0,0,0,0
PVC,SPA,GEL CARIBEL GEL DE BANNO AL ACEITE DE VISON 500ML,Bruno Vassary,2,1,19.00,26.11,23.50,22.32
PC,Hair Salon,GEL DE CABELLO,Otros,1,1,0,0,0,0
PC,Nail Bar,GEL EN FRIO BRUSHON CLEAR,Otros,2,1,0,0,0,0
PC,Nail Bar,GEL EN FRIO RESIN ACTIVADOR,Otros,2,1,0,0,0,0
PC,Nail Bar,gel frio secante - maxybelt,Otros,3,1,0,0,0,0
PC,Nail Bar,GEL SECANTE EN FRIO,essie,2,1,0,0,0,0
PV,SPA,GERALDINA 500ML,Bruno Vassary,2,1,19.00,26.11,23.50,22.32
PVC,SPA,GERALDINA 500ML,Bruno Vassary,2,1,19.00,26.11,23.50,22.32
PC,Hair Salon,GOMA DE PESTANNA INDIVIDUAL,Otros,1,1,0,0,0,0
PC,Hair Salon,GOMA DE PESTANNA TIRA,Otros,1,1,0,0,0,0
PC,Hair Salon,GOMA PESTANNA TIRA,Otros,1,1,0,0,0,0
PC,Hair Salon,GOMA UNNAS NAIL GLUE adoro,Otros,11,1,0,0,0,0
PC,Hair Salon,GORRO ALUMINIO,Otros,3,1,0,0,0,0
PV,SPA,GRATIS PROTECTOR SOLAR ,Otros,1,1,16,23.61,21.25,20.19
PC,Nail Bar,GUANTES EXFOLIANTES,Otros,2,1,0,0,0,0
PV,SPA,HIDROFILLER MESOTERAPIA,Otros,10,5,3.559,5.25,4.73,4.49
PV,SPA,HYALURONIC BEAUTY KIT,Bruno Vassary,1,1,43.26,59.44,53.50,50.82
PV,SPA,HYALURONIC CREAM POLLUTION NEUTRALIUZER 50ML,Bruno Vassary,0,1,39.47,54.24,48.81,46.37
PV,SPA,HYALURONIC MULTI MOLECULAR FILLER 15ML,Bruno Vassary,1,1,34.21,47.01,42.31,40.19
PV,SPA,HYALURONIC SCRUB & MASK 100ML,Bruno Vassary,1,1,21.93,30.13,27.12,25.76
PC,Hair Salon,iluminador,Otros,1,1,0,0,0,0
PC,Hair Salon,INFIN CRISTAL UL FORT 500ML,LOREAL,1,1,29.90,0.00,0,0
PV,Hair Salon,INFIN CRISTAL UL FORT 500ML,LOREAL,5,2,29.90,44.13,39.71,37.73
PC,Hair Salon,INOA 1,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 10  ,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 2 60GRM V511,LOREAL,0.25,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 200 OXYDANT 10VOL,LOREAL,2,2,12.30,0.00,0.00,0.00
PC,Hair Salon,INOA 200 OXYDANT 20VOL,LOREAL,2,2,12.30,0.00,0.00,0.00
PC,Hair Salon,INOA 5,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 5.0,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 5.17,LOREAL,2,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 5.5,LOREAL,1.75,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 6.1 ,LOREAL,0.5,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 6.13,LOREAL,2,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 7,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 7.13,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 7.23,LOREAL,0.25,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 7.43,LOREAL,0.25,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 7.8 60GRM,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 8,LOREAL,0.5,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 8.1,LOREAL,2,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 9 ,LOREAL,1,2,7.20,0.00,0.00,0.00
PC,Hair Salon,INOA 9.1,LOREAL,2,2,7.20,0.00,0.00,0.00
PV,Hair Salon,INSTA CLEAR SHAMPOO 250ML,LOREAL,2,1,17.00,25.09,22.58,21.45
PC,Hair Salon,juego de 6 brochas,Otros,1,1,0,0,0,0
PV,Hair Salon,K ELIXIR ULTIME CATAPLASME 200ML V058 mascarilla,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,Hair Salon,K ELIXIR ULTIME CHX ABIMES 125ML VERDE,KERASTASE,4,1,28.90,46.77,42.09,39.99
PV,Hair Salon,K ELIXIR ULTIME CHX COLOR 125ML ROSADO,KERASTASE,1,1,30.10,48.71,43.84,41.65
PV,Hair Salon,K ELIXIR ULTIME CHX COLOR 125ML ROSADO,KERASTASE,1,1,28.90,46.77,42.09,39.99
PV,Hair Salon,KER  NUT NUTRI THERMIQUE BAIN 250ML,KERASTASE,1,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KER  NUT NUTRI THERMIQUE BAIN 250ML,KERASTASE,4,1,22.80,36.90,33.21,31.55
PV,Hair Salon,KER CRISTALLISTE BAIN 250ML,KERASTASE,3,1,21.90,35.44,31.90,30.30
